image_filename,image_entropy,image_delentropy,hologram_bit_depth,NMSE,hologram_entropy
0069.png,7.905981147616708,5.818354938566041,7,2.2211759373557597e-09,6.999974167670746
0069.png,7.905981147616708,5.818354938566041,7,2.218278563653347e-09,6.999966223442794
0069.png,7.905981147616708,5.818354938566041,7,2.221024191944674e-09,6.999960959830067
0069.png,7.905981147616708,5.818354938566041,7,2.220661931975643e-09,6.999960310612201
0069.png,7.905981147616708,5.818354938566041,7,2.2138891046241102e-09,6.999952034821707
0069.png,7.905981147616708,5.818354938566041,8,1.351115907295518e-09,7.999930695067468
0069.png,7.905981147616708,5.818354938566041,8,1.3484467747923851e-09,7.999926535319037
0069.png,7.905981147616708,5.818354938566041,8,1.3504336917731826e-09,7.9999209007559875
0069.png,7.905981147616708,5.818354938566041,8,1.3510975061475923e-09,7.999932821304734
0069.png,7.905981147616708,5.818354938566041,8,1.3488494788004005e-09,7.999938006941636
0070.png,7.770417882001065,5.919934403922922,1,9.057142016168214e-08,0.9999998109871392
0070.png,7.770417882001065,5.919934403922922,1,9.055302639620763e-08,0.9999999769951858
0070.png,7.770417882001065,5.919934403922922,1,9.056515289473246e-08,0.9999999198641812
0070.png,7.770417882001065,5.919934403922922,1,9.049030158770353e-08,0.9999997586736087
0070.png,7.770417882001065,5.919934403922922,1,9.058785046243542e-08,0.9999999239818126
0070.png,7.770417882001065,5.919934403922922,2,5.0635521449430494e-08,1.9999999582632826
0070.png,7.770417882001065,5.919934403922922,2,5.0701971737616474e-08,1.9999999548596916
0070.png,7.770417882001065,5.919934403922922,2,5.074756966206016e-08,1.9999999445320138
0070.png,7.770417882001065,5.919934403922922,2,5.06734404874468e-08,1.9999998958312006
0070.png,7.770417882001065,5.919934403922922,2,5.063730483939048e-08,1.999999348076613
0070.png,7.770417882001065,5.919934403922922,3,2.4564498663081175e-08,2.9999990371554284
0070.png,7.770417882001065,5.919934403922922,3,2.4567958112103754e-08,2.999998741116257
0070.png,7.770417882001065,5.919934403922922,3,2.4579302328652666e-08,2.999997794837447
0070.png,7.770417882001065,5.919934403922922,3,2.453173865747677e-08,2.9999986855166068
0070.png,7.770417882001065,5.919934403922922,3,2.459528679702747e-08,2.9999988740692003
0070.png,7.770417882001065,5.919934403922922,4,1.1896261299454352e-08,3.9999981094746424
0070.png,7.770417882001065,5.919934403922922,4,1.1898529076177218e-08,3.999997989278386
0070.png,7.770417882001065,5.919934403922922,4,1.1921366923617107e-08,3.999996641289318
0070.png,7.770417882001065,5.919934403922922,4,1.1882339075327067e-08,3.999997702863629
0070.png,7.770417882001065,5.919934403922922,4,1.188984530454385e-08,3.9999973941738745
0070.png,7.770417882001065,5.919934403922922,5,5.8875492051134e-09,4.99999016623441
0070.png,7.770417882001065,5.919934403922922,5,5.877850495260421e-09,4.999995179905441
0070.png,7.770417882001065,5.919934403922922,5,5.871491663963694e-09,4.99999002971056
0070.png,7.770417882001065,5.919934403922922,5,5.863063082262538e-09,4.999995252174243
0070.png,7.770417882001065,5.919934403922922,5,5.88105313737181e-09,4.999993263036678
0070.png,7.770417882001065,5.919934403922922,6,2.9731134508038592e-09,5.999983168732317
0070.png,7.770417882001065,5.919934403922922,6,2.976450192257386e-09,5.999986876581589
0070.png,7.770417882001065,5.919934403922922,6,2.972133089993499e-09,5.999983079130309
0070.png,7.770417882001065,5.919934403922922,6,2.962677775890664e-09,5.999983485771651
0070.png,7.770417882001065,5.919934403922922,6,2.9702501226794707e-09,5.999986147837865
0070.png,7.770417882001065,5.919934403922922,7,1.5389155500227015e-09,6.99996494790191
0070.png,7.770417882001065,5.919934403922922,7,1.5402012574590111e-09,6.999973181096852
0070.png,7.770417882001065,5.919934403922922,7,1.545231189419776e-09,6.999963593773135
0070.png,7.770417882001065,5.919934403922922,7,1.5376571484661515e-09,6.999968580265952
0070.png,7.770417882001065,5.919934403922922,7,1.5403058179475902e-09,6.999975289704525
0070.png,7.770417882001065,5.919934403922922,8,8.359953177557875e-10,7.999941557800338
0070.png,7.770417882001065,5.919934403922922,8,8.351650737544533e-10,7.999933901181566
0070.png,7.770417882001065,5.919934403922922,8,8.397365550155907e-10,7.999938864097084
0070.png,7.770417882001065,5.919934403922922,8,8.339767657874729e-10,7.999932358097623
0070.png,7.770417882001065,5.919934403922922,8,8.329261440625449e-10,7.999929136180654
0071.png,7.562085495215512,5.754626164389301,1,7.744900030248389e-08,0.9999997445978689
0071.png,7.562085495215512,5.754626164389301,1,7.761718917569843e-08,0.9999999003789607
0071.png,7.562085495215512,5.754626164389301,1,7.76076818752667e-08,0.9999999219365714
0071.png,7.562085495215512,5.754626164389301,1,7.773159763289975e-08,0.9999999994837878
0071.png,7.562085495215512,5.754626164389301,1,7.76285467472109e-08,0.9999999866727508
0071.png,7.562085495215512,5.754626164389301,2,4.844461780901384e-08,1.99999931508465
0071.png,7.562085495215512,5.754626164389301,2,4.837357497318731e-08,1.9999996993775702
0071.png,7.562085495215512,5.754626164389301,2,4.853861552452523e-08,1.9999999956764867
0071.png,7.562085495215512,5.754626164389301,2,4.851955578337942e-08,1.9999999050174793
0071.png,7.562085495215512,5.754626164389301,2,4.8441691521936834e-08,1.9999998849522536
0071.png,7.562085495215512,5.754626164389301,3,2.3465482991867184e-08,2.999997814988508
0071.png,7.562085495215512,5.754626164389301,3,2.3475524087543375e-08,2.999999227512292
0071.png,7.562085495215512,5.754626164389301,3,2.3487184645943222e-08,2.9999996714889168
0071.png,7.562085495215512,5.754626164389301,3,2.346223025151312e-08,2.9999994777993875
0071.png,7.562085495215512,5.754626164389301,3,2.3482345898725355e-08,2.9999980622094835
0071.png,7.562085495215512,5.754626164389301,4,1.1160143147189333e-08,3.9999952882179777
0071.png,7.562085495215512,5.754626164389301,4,1.1171181458434754e-08,3.9999970946924464
0071.png,7.562085495215512,5.754626164389301,4,1.1172119905626177e-08,3.99999785895931
0071.png,7.562085495215512,5.754626164389301,4,1.1161758838868038e-08,3.9999971702483785
0071.png,7.562085495215512,5.754626164389301,4,1.1169260368198103e-08,3.9999951009998407
0071.png,7.562085495215512,5.754626164389301,5,5.350529636040556e-09,4.9999905872767725
0071.png,7.562085495215512,5.754626164389301,5,5.358141764979231e-09,4.999992861547085
0071.png,7.562085495215512,5.754626164389301,5,5.357606523158914e-09,4.999993673413451
0071.png,7.562085495215512,5.754626164389301,5,5.351892870432784e-09,4.999990171577953
0071.png,7.562085495215512,5.754626164389301,5,5.36840455138896e-09,4.999994218699039
0071.png,7.562085495215512,5.754626164389301,6,2.604011365463551e-09,5.999986076032476
0071.png,7.562085495215512,5.754626164389301,6,2.6107665138359906e-09,5.9999860617612315
0071.png,7.562085495215512,5.754626164389301,6,2.6092783267670673e-09,5.999987755436071
0071.png,7.562085495215512,5.754626164389301,6,2.602327249292477e-09,5.999985266409504
0071.png,7.562085495215512,5.754626164389301,6,2.6038907912215073e-09,5.999981743463698
0071.png,7.562085495215512,5.754626164389301,7,1.2801020019195785e-09,6.999970996085932
0071.png,7.562085495215512,5.754626164389301,7,1.2797457141356942e-09,6.999961692837037
